EDC100_101	Energy	Weighted					Summe		
-18,551758	-1,299	24,09873364				0,571	273,1495565		
-97,17334	-1,294	125,742302				0,576	277,8219852		
-196,89404	-1,289	253,7964176				0,581	282,2449517		
-37,785645	-1,284	48,51676818				0,586	289,4152003		
-153,44385	-1,279	196,2546842				0,591	295,9338132		
25,833984	-1,274	-32,91249562				0,596	301,430451		
389,29883	-1,269	-494,0202153				0,601	303,531165		
-30,950195	-1,264	39,12104648				0,606	306,6021908		
35,88916	-1,259	-45,18445244				0,611	310,8567524		
380,20117	-1,254	-476,7722672				0,616	314,8491606		
20,585449	-1,249	-25,7112258				0,621	319,0416764		
-58,602539	-1,244	72,90155852				0,626	324,8195253		
-224,05566	-1,239	277,6049627				0,631	330,301605		
455,43848	-1,234	-562,0110843				0,636	332,0751388		
358,31152	-1,229	-440,3648581				0,641	335,1272667		
-93,618164	-1,224	114,5886327				0,646	339,0947336		
289,58594	-1,219	-353,0052609				0,651	343,8182068		
308,61914	-1,214	-374,663636				0,656	349,3486648		
332,9707	-1,209	-402,5615763				0,661	350,5247327		
503,11328	-1,204	-605,7483891				0,666	354,4053035		
138,62695	-1,199	-166,2137131				0,671	355,7381572		
-56,806641	-1,194	67,82712935				0,676	358,3007015		
403,08008	-1,189	-479,2622151				0,681	363,7424311		
575,40039	-1,184	-681,2740618				0,686	368,8737902		
145,86133	-1,179	-171,9705081				0,691	372,9074175		
-61,433594	-1,174	72,12303936				0,696	377,236685		
477,70898	-1,169	-558,4417976				0,701	383,604187		
-638,58008	-1,164	743,3072131				0,706	389,8575915		
-176,08008	-1,159	204,0768127				0,711	393,2344499		
118,89453	-1,154	-137,2042876				0,716	393,5001716		
450,58203	-1,149	-517,7187525				0,721	393,8757328		
-129,38867	-1,144	148,0206385				0,726	395,1077066		
73,978516	-1,139	-84,26152972				0,731	396,2641307		
474,17969	-1,134	-537,7197685				0,736	396,3308016		
42,621094	-1,129	-48,11921513				0,741	396,2609659		
1266,2207	-1,124	-1423,232067				0,746	401,2177467		
246,16602	-1,119	-275,4597764				0,751	405,9619264		
-171,07422	-1,114	190,5766811				0,756	411,566041		
616,38281	-1,109	-683,5685363				0,761	418,4529467		
125,73828	-1,104	-138,8150611				0,766	424,1305881		
158,03906	-1,099	-173,6849269				0,771	428,2418482		
544,48828	-1,094	-595,6701783				0,776	431,0541653		
-479,92188	-1,089	522,6349273				0,781	433,5374381		
-402,73047	-1,084	436,5598295				0,786	436,2244863		
755,26562	-1,079	-814,931604				0,791	439,1634523		
402,35156	-1,074	-432,1255754				0,796	446,8049615		
-34,902344	-1,069	37,31060574				0,801	453,922308		
461,375	-1,064	-490,903				0,806	459,1399957		
4,4570312	-1,059	-4,719996041				0,811	464,9141547		
-15,949219	-1,054	16,81047683				0,816	468,5315964		
-132,23828	-1,049	138,7179557				0,821	472,0185707		
1026,8711	-1,044	-1072,053428				0,826	475,5284397		
-506,39062	-1,039	526,1398542				0,831	478,1657387		
-549,99219	-1,034	568,6919245				0,836	480,4607521		
-237,07031	-1,029	243,945349				0,841	489,6561343		
9,4414062	-1,024	-9,667999949				0,846	499,8642469		
244,45312	-1,019	-249,0977293				0,851	505,3248276		
-281,86328	-1,014	285,8093659				0,856	513,3666647		
357	-1,009	-360,213				0,861	519,4416563		
-409,21875	-1,004	410,855625				0,866	522,539018		
-619,44922	-0,999	618,8297708				0,871	524,0374382		
51,226562	-0,994	-50,91920263				0,876	526,9467317		
-987,82031	-0,989	976,9542866				0,881	534,4250351		
505,25391	-0,984	-497,1698474				0,886	542,5414524		
-725,21875	-0,979	709,9891563				0,891	545,8112179		
-288,68359	-0,974	281,1778167				0,896	546,3558487		
257,83594	-0,969	-249,8430259				0,901	550,765408		
-701,35547	-0,964	676,1066731				0,906	556,4597561		
99,386719	-0,959	-95,31186352				0,911	555,8300187		
-942,85938	-0,954	899,4878485				0,916	557,5900038		
-80,046875	-0,949	75,96448438				0,921	558,6714221		
529,72656	-0,944	-500,0618726				0,926	558,5971318		
-217,10547	-0,939	203,8620363				0,931	563,6555564		
-370,16016	-0,934	345,7295894				0,936	565,0876397		
637,82422	-0,929	-592,5387004				0,941	567,8852597		
12,226562	-0,924	-11,29734329				0,946	579,7603485		
438,26172	-0,919	-402,7625207				0,951	589,8968407		
47,820312	-0,914	-43,70776517				0,956	598,6744891		
-290,8125	-0,909	264,3485625				0,961	608,1875291		
155,94531	-0,904	-140,9745602				0,966	620,7639343		
-185,66797	-0,899	166,915505				0,971	634,1658559		
-1256,7695	-0,894	1123,551933				0,976	644,6615432		
225,75	-0,889	-200,69175				0,981	648,5835502		
-634,80469	-0,884	561,167346				0,986	651,4408254		
