Meta Data
Label,Value,
Date,5/8/2020
Profile,HillsAndValleys
ScanDuration,50 s
ScanLength,4500 µm
ScanResolution,0.29996 µm
ScanType,Standard Scan
StylusForce,3 mg
StylusScanRange,6.5 µm
StylusType,Radius: 12.5 μm
Time,11:46:28 AM


Data Leveling Position
R Cursor Position,0 µm
R Cursor Width,0 µm
M Cursor Position,4499.40007968396 µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(nm),,
0,0,,
0.299960005312264,-0.0970097953290786,,
0.599920010624528,-0.0931026979856741,,
0.899880015936792,-0.0686810857028572,,
1.19984002124906,0.180949256947908,,
1.49980002656132,0.0666023271061184,,
1.79976003187358,0.125918963094509,,
2.09972003718585,0.33563804987763,,
2.39968004249811,0.465707327379544,,
2.69964004781038,0.664749561347144,,
2.99960005312264,0.689671961339724,,
3.29956005843491,0.686301265508894,,
3.59952006374717,0.64744418598227,,
3.89948006905943,0.613229833871096,,
4.1994400743717,0.565892197760515,,
4.49940007968396,0.488923948907997,,
4.79936008499623,0.501378526349757,,
5.09932009030849,0.590411963136287,,
5.39928009562075,0.639596898976233,,
5.69924010093302,0.708678384154531,,
5.99920010624528,0.750087698497045,,
6.29916011155755,0.846832353769141,,
6.59912011686981,1.02111759279617,,
6.89908012218207,1.11995174114974,,
7.19904012749434,1.10577374179076,,
7.4990001328066,1.17634561358864,,
7.79896013811887,1.11249449389118,,
8.09892014343113,1.15040225349855,,
8.39888014874339,1.13564616372838,,
8.69884015405566,1.07792612724415,,
8.99880015936792,0.83441399338209,,
9.29876016468019,0.932693789346495,,
9.59872016999245,0.929979728060609,,
9.89868017530472,0.954750328780227,,
10.198640180617,0.803417754633955,,
10.4986001859292,0.852654873717576,,
10.7985601912415,0.895613375560421,,
11.0985201965538,1.02620109354772,,
11.398480201866,0.987261035121907,,
11.6984402071783,1.1717032036093,,
11.9984002124906,0.978627559121449,,
12.2983602178028,1.00526070393995,,
12.5983202231151,1.20507162588931,,
12.8982802284274,1.23483604562692,,
13.1982402337396,1.30829359320832,,
13.4982002390519,1.40857862364217,,
13.7981602443641,1.32467250292896,,
14.0981202496764,1.11494745733899,,
14.3980802549887,1.09562918787258,,
14.6980402603009,1.13025688646028,,
14.9980002656132,1.29732009578463,,
15.2979602709255,1.40150434122289,,
15.5979202762377,1.46625389040177,,
15.89788028155,1.432758583552,,
16.1978402868623,1.55961859010051,,
16.4978002921745,1.56731823900484,,
16.7977602974868,1.44759538095002,,
17.0977203027991,1.24027422936908,,
17.3976803081113,1.40760611734665,,
17.6976403134236,1.32552684991846,,
17.9976003187358,1.41003755435024,,
18.2975603240481,1.41155017074381,,
18.5975203293604,1.52631074149175,,
18.8974803346726,1.65028779458957,,
19.1974403399849,1.5992771787378,,
19.4974003452972,1.36165847269785,,
19.7973603506094,1.31780709643559,,
20.0973203559217,1.28188564481297,,
20.397280361234,1.15454960381328,,
20.6972403665462,1.0915444854506,,
20.9972003718585,1.31371565631132,,
21.2971603771707,1.38007596733757,,
21.597120382483,1.56891946039156,,
21.8970803877953,1.61170207185451,,
22.1970403931075,1.65821117382018,,
22.4970003984198,1.78564682321604,,
22.7969604037321,1.86664531645165,,
23.0969204090443,1.96326381410874,,
23.3968804143566,2.16408428154781,,
23.6968404196689,2.42111611608803,,
23.9968004249811,2.58054920812227,,
24.2967604302934,2.82365461261651,,
24.5967204356057,2.80502093228643,,
24.8966804409179,2.87754882900975,,
25.1966404462302,3.07145104534281,,
25.4966004515424,3.08194112169394,,
25.7965604568547,3.18911344741547,,
26.096520462167,3.18719434668121,,
26.3964804674792,3.25173105093454,,
26.6964404727915,3.21487616672003,,
26.9964004781038,3.16103444704261,,
27.296360483416,3.06236892249747,,
27.5963204887283,3.0752121639697,,
27.8962804940406,3.10388133624513,,
28.1962404993528,3.17729609973272,,
28.4962005046651,3.39442352219068,,
28.7961605099774,3.30456412642994,,
29.0961205152896,3.44155940780027,,
29.3960805206019,3.58330351593203,,
29.6960405259141,3.55336634609515,,
29.9960005312264,3.69744793764412,,
30.2959605365387,3.81543558861356,,
30.5959205418509,3.68359476893569,,
30.8958805471632,3.80629785472586,,
31.1958405524755,3.92498584970703,,
31.4958005577877,4.07574761228601,,
31.7957605631,4.03926881858059,,
32.0957205684123,3.98432000483573,,
32.3956805737245,3.90277088621125,,
32.6956405790368,3.74489832615219,,
32.995600584349,3.61316412200533,,
33.2955605896613,3.66528259627445,,
33.5955205949736,3.77593713522745,,
33.8954806002858,3.97216656880986,,
34.1954406055981,4.2832301397848,,
34.4954006109104,4.47350777914883,,
34.7953606162226,4.51680788777047,,
35.0953206215349,4.54208603517948,,
35.3952806268472,4.48447784200838,,
35.6952406321594,4.42791643951157,,
35.9952006374717,4.40177734455501,,
36.295160642784,4.37353847103467,,
36.5951206480962,4.36729148663871,,
36.8950806534085,4.43001696388528,,
37.1950406587207,4.328780005002,,
37.495000664033,4.11992854916128,,
37.7949606693453,4.03184477650287,,
38.0949206746575,4.01121060754778,,
38.3948806799698,3.96097085348919,,
38.6948406852821,3.96068209023478,,
38.9948006905943,4.13787329824088,,
39.2947606959066,4.22588152056842,,
39.5947207012189,4.40597782568974,,
39.8946807065311,4.46688926915483,,
40.1946407118434,4.498312159543,,
40.4946007171556,4.33567578479044,,
40.7945607224679,4.54602803204235,,
41.0945207277802,4.72549367817279,,
41.3944807330924,4.92668899101365,,
41.6944407384047,5.01864791097304,,
41.994400743717,5.37507539490763,,
42.2943607490292,5.51533950407345,,
42.5943207543415,5.42975731755216,,
