Depth, z [nm] 	Int 	Int(s) 	Int(p)
       10.521127       0.18690727       0.21316054       0.18690727
       10.619718       0.18635702       0.21301638       0.18635702
       10.718310       0.18582400       0.21288282       0.18582400
       10.816901       0.18530803       0.21275976       0.18530803
       10.915493       0.18480894       0.21264710       0.18480894
       11.014085       0.18432654       0.21254472       0.18432654
       11.112676       0.18386067       0.21245253       0.18386067
       11.211268       0.18341115       0.21237043       0.18341115
       11.309859       0.18297782       0.21229833       0.18297782
       11.408451       0.18256051       0.21223612       0.18256051
       11.507042       0.18215906       0.21218372       0.18215906
       11.605634       0.18177330       0.21214105       0.18177330
       11.704225       0.18140307       0.21210800       0.18140307
       11.802817       0.18104823       0.21208449       0.18104823
       11.901408       0.18070861       0.21207045       0.18070861
