  Depth, z [A] 	Int 	Int(s) 	Int(p)
       120.00000       0.11525458      0.085522190       0.11525458
       121.00000       0.11501366      0.085369052       0.11501366
       122.00000       0.11477766      0.085219182       0.11477766
       123.00000       0.11454659      0.085072570       0.11454659
       124.00000       0.11432041      0.084929206       0.11432041
       125.00000       0.11409911      0.084789080       0.11409911
       126.00000       0.11388268      0.084652182       0.11388268
       127.00000       0.11367110      0.084518501       0.11367110
       128.00000       0.11346436      0.084388031       0.11346436
       129.00000       0.11326245      0.084260759       0.11326245
       130.00000       0.11306534      0.084136680       0.11306534
       131.00000       0.11287303      0.084015782       0.11287303
       132.00000       0.11268550      0.083898058       0.11268550
       133.00000       0.11250273      0.083783500       0.11250273
       134.00000       0.11232472      0.083672099       0.11232472
       135.00000       0.11215146      0.083563848       0.11215146
       136.00000       0.11198292      0.083458740       0.11198292
       137.00000       0.11181910      0.083356765       0.11181910
       138.00000       0.11165999      0.083257918       0.11165999
       139.00000       0.11150557      0.083162191       0.11150557
       140.00000       0.11135583      0.083069578       0.11135583
       141.00000       0.11121077      0.082980071       0.11121077
       142.00000       0.11107037      0.082893665       0.11107037
       143.00000       0.11093462      0.082810354       0.11093462
       144.00000       0.11080351      0.082730130       0.11080351
       145.00000       0.11067704      0.082652989       0.11067704
       146.00000       0.11055519      0.082578924       0.11055519
       147.00000       0.11043795      0.082507931       0.11043795
       148.00000       0.11032532      0.082440004       0.11032532
       149.00000       0.11021728      0.082375138       0.11021728
       150.00000       0.11038396      0.082313329       0.11038396
       150.98592       0.11026974      0.082254401       0.11026974
       151.97183       0.11015733      0.082196482       0.11015733
       152.95775       0.11004673      0.082139564       0.11004673
       153.94366       0.10993791      0.082083641       0.10993791
       154.92958       0.10983087      0.082028707       0.10983087
       155.91549       0.10972559      0.081974756       0.10972559
       156.90141       0.10962207      0.081921781       0.10962207
       157.88732       0.10952029      0.081869777       0.10952029
       158.87324       0.10942025      0.081818738       0.10942025
       159.85915       0.10932192      0.081768657       0.10932192
       160.84507       0.10922530      0.081719529       0.10922530
       161.83099       0.10913038      0.081671348       0.10913038
       162.81690       0.10903714      0.081624109       0.10903714
       163.80282       0.10894559      0.081577804       0.10894559
       164.78873       0.10885569      0.081532430       0.10885569
       165.77465       0.10876746      0.081487980       0.10876746
       166.76056       0.10868086      0.081444449       0.10868086
       167.74648       0.10859590      0.081401832       0.10859590
       168.73239       0.10851257      0.081360122       0.10851257
       169.71831       0.10843084      0.081319315       0.10843084
       170.70423       0.10835072      0.081279406       0.10835072
       171.69014       0.10827219      0.081240389       0.10827219
       172.67606       0.10819525      0.081202260       0.10819525
       173.66197       0.10811987      0.081165013       0.10811987
       174.64789       0.10804606      0.081128642       0.10804606
       175.63380       0.10797381      0.081093145       0.10797381
       176.61972       0.10790309      0.081058514       0.10790309
       177.60563       0.10783391      0.081024746       0.10783391
       178.59155       0.10776626      0.080991837       0.10776626
       179.57746       0.10770012      0.080959780       0.10770012
       180.56338       0.10763548      0.080928572       0.10763548
       181.54930       0.10757235      0.080898208       0.10757235
       182.53521       0.10751070      0.080868683       0.10751070
       183.52113       0.10745052      0.080839994       0.10745052
       184.50704       0.10739182      0.080812135       0.10739182
       185.49296       0.10733458      0.080785102       0.10733458
       186.47887       0.10727879      0.080758892       0.10727879
       187.46479       0.10722444      0.080733500       0.10722444
       188.45070       0.10717153      0.080708922       0.10717153
       189.43662       0.10712004      0.080685153       0.10712004
       190.42254       0.10706997      0.080662190       0.10706997
       191.40845       0.10702131      0.080640029       0.10702131
       192.39437       0.10697405      0.080618666       0.10697405
       193.38028       0.10692818      0.080598097       0.10692818
       194.36620       0.10688370      0.080578318       0.10688370
       195.35211       0.10684059      0.080559326       0.10684059
       196.33803       0.10679885      0.080541117       0.10679885
       197.32394       0.10675848      0.080523687       0.10675848
       198.30986       0.10671945      0.080507033       0.10671945
       199.29577       0.10668177      0.080491152       0.10668177
       200.28169       0.10664543      0.080476039       0.10664543
       201.26761       0.10661042      0.080461692       0.10661042
       202.25352       0.10657673      0.080448108       0.10657673
       203.23944       0.10654436      0.080435282       0.10654436
       204.22535       0.10651330      0.080423213       0.10651330
       205.21127       0.10648353      0.080411896       0.10648353
       206.19718       0.10645506      0.080401330       0.10645506
       207.18310       0.10642788      0.080391510       0.10642788
       208.16901       0.10640198      0.080382434       0.10640198
       209.15493       0.10637735      0.080374099       0.10637735
       210.14085       0.10635399      0.080366502       0.10635399
       211.12676       0.10633189      0.080359641       0.10633189
       212.11268       0.10631104      0.080353513       0.10631104
       213.09859       0.10629144      0.080348114       0.10629144
       214.08451       0.10627308      0.080343444       0.10627308
       215.07042       0.10625595      0.080339498       0.10625595
       216.05634       0.10624005      0.080336275       0.10624005
       217.04225       0.10622538      0.080333772       0.10622538
       218.02817       0.10621191      0.080331987       0.10621191
       219.01408       0.10619966      0.080330918       0.10619966
